title,trust,cohesion,equity
¿Qué piso y fracción rompen el 30%?,0.0,0.0,0.0
"Plan A (piso 8.0, 1.5%)",0.0,0.0,0.75
Plan A + 1 toque extra,0.0,0.0,0.75
